userid,tweet_count,link_count,thread_count
15778471,10,15,1
35303299,10,22,1
2935490089,10,13,4
2882736641,10,22,3
53843310,10,20,1
1427002464,10,22,1
2704810752,10,17,4
2601585061,10,22,1
49948272,10,12,7
38708614,10,30,2
2363325966,10,26,1
213655226,10,14,1
88160640,10,21,1
73571300,10,18,1
2636328522,10,23,1
328341499,10,18,1
258730076,10,12,10
569225542,10,33,1
2813784567,10,18,1
582119732,10,21,1
237866141,10,18,1
2203388255,10,21,1
153132339,10,10,10
615331081,10,15,1
2585167779,10,17,1
1455949729,10,16,1
2427186176,10,14,1
116205535,10,10,1
2858149972,9,15,8
307195603,9,14,2
374712154,9,72,8
2484304264,9,13,6
72588786,9,9,9
2908504576,9,17,4
326078926,9,15,2
1324736137,9,17,2
60296618,9,30,2
600961272,9,17,3
707145385,9,20,1
2857523995,9,17,2
2877276800,9,11,7
20860653,9,23,2
1309728793,9,24,1
1849534285,9,19,1
772198776,9,13,3
932284093,9,17,1
125344265,9,9,9
1568890652,9,17,4
711083054,9,12,4
2351478066,9,14,4
788524,9,72,9
706914554,9,13,2
55949344,9,15,5
8432682,9,15,2
276075970,9,16,1
17665641,9,13,5
107763179,9,15,1
86459786,9,11,3
16020483,9,9,5
546381549,9,12,4
2758691533,9,22,1
1485192062,9,18,2
433851538,9,18,1
389548615,9,9,8
2828640809,9,18,4
43230323,9,16,1
149913262,9,108,9
409210532,9,17,1
2461887810,9,77,9
111356099,9,14,2
1652541,9,110,9
19533817,9,24,1
14846641,9,16,2
2864105789,9,12,4
2889009596,9,16,4
1420532611,9,11,1
94212396,9,16,2
19563727,9,21,2
259619085,9,14,1
1692065287,9,12,3
16649035,9,17,2
329173479,9,16,1
15427912,9,14,3
2901964056,9,14,4
128750531,9,17,4
755864660,9,18,2
174322021,9,20,1
275407701,9,13,1
112207252,9,13,1
88851341,9,14,2
619894373,9,19,1
1414017500,9,20,2
369566908,9,22,1
399004122,9,19,1
140622942,9,18,1
2489876530,9,17,2
233038442,9,17,1
134755699,9,16,1
2429521228,9,15,1
14680246,9,20,1
2824442646,9,15,5
11966392,9,19,1
775045572,9,29,1
1394418516,9,15,1
146918310,9,18,1
2367238122,9,17,1
51052182,9,17,1
373528975,9,23,1
34960914,9,14,1
203143374,9,16,1
2690842873,9,9,9
107031620,9,9,7
607925802,9,21,1
1720757281,9,15,1
23485619,9,15,1
2717034139,9,9,9
1080957721,9,18,1
2394746518,9,20,1
612283811,9,15,1
16573662,9,28,2
245455480,9,12,1
77899147,9,22,1
896137904,9,14,1
104487298,9,17,1
2882386301,9,15,1
1271386550,9,10,2
885363181,8,16,1
286801248,8,9,7
68956490,8,9,8
2837193419,8,9,1
114716461,8,13,3
2965078709,8,15,2
1270339064,8,10,4
127450313,8,14,2
200700159,8,13,4
114924199,8,14,3
2188165862,8,25,3
245051131,8,11,5
177830416,8,13,5
60165404,8,9,6
299378671,8,20,2
2927507078,8,14,2
407407474,8,19,2
1531789724,8,10,4
2869304847,8,10,8
22435220,8,13,5
2289664622,8,10,5
1653060816,8,17,1
1944275736,8,15,1
2192824389,8,16,3
1151095778,8,13,7
532779460,8,50,4
16012783,8,49,8
254873869,8,48,4
397546532,8,17,1
2535400212,8,13,1
16589206,8,66,7
207023127,8,11,4
2609080965,8,8,3
354993073,8,12,1
402070775,8,9,8
2398461846,8,16,3
2356127598,8,8,6
1543018256,8,15,1
2438703847,8,10,1
876378530,8,29,1
46818339,8,13,2
21579414,8,14,1
484240369,8,10,4
162219704,8,20,1
2556961425,8,9,3
2762702188,8,13,2
31532999,8,25,1
105404541,8,10,2
23476134,8,14,1
2800176902,8,15,2
2195116544,8,11,6
588726199,8,14,1
50245312,8,17,1
30126064,8,16,1
1528718839,8,15,1
770751798,8,17,1
43531759,8,21,2
1822094124,8,14,1
2856401319,8,8,7
365389397,8,17,1
877551276,8,19,1
2286985572,8,8,1
2871280115,8,8,5
28785486,8,85,8
538765846,8,8,7
20526449,8,18,1
26493907,8,14,1
1407027576,8,8,7
561859202,8,17,1
466228100,8,13,3
9507342,8,30,3
469797841,8,17,1
53013955,8,19,1
15730804,8,10,4
255501090,8,15,1
2863136065,8,16,1
94718067,8,16,1
70593494,8,8,5
2951968857,8,8,8
101392537,8,17,1
354914590,8,9,1
51537420,8,17,2
25193031,8,19,1
413831626,8,14,1
1492883130,8,10,1
110820682,8,15,1
213698858,8,11,3
213243259,8,16,1
851775086,8,17,1
2834204245,8,14,1
2895859044,8,15,1
118928446,8,15,1
1137320347,8,21,1
460849436,8,14,1
407279130,8,10,1
258003948,8,19,2
2376076501,8,12,1
291561694,8,16,1
2741866624,8,16,1
369859193,8,15,1
1472776850,8,19,1
373937708,8,15,2
2183674353,8,17,1
2943149674,8,8,1
842574937,7,22,1
36611990,7,11,3
369437673,7,12,2
324908191,7,10,6
560501622,7,8,6
287805030,7,10,4
2725911162,7,11,4
756331316,7,14,3
1521762800,7,15,2
2957163159,7,10,2
2375531316,7,11,2
180961394,7,7,7
27457454,7,13,3
2741636707,7,13,1
90761544,7,10,3
2608747130,7,12,1
501768982,7,70,7
2560120714,7,7,6
252543321,7,9,2
174253648,7,28,2
55795410,7,7,7
46505149,7,15,2
89929611,7,7,6
516898722,7,14,1
402995375,7,19,1
14080276,7,38,1
222244723,7,19,1
1583402005,7,10,1
347883924,7,11,1
77425319,7,14,4
250653876,7,12,1
120131371,7,12,2
224682566,7,28,2
2607703608,7,8,5
2152744767,7,13,1
2257552586,7,7,7
2319710954,7,17,2
540026221,7,15,1
1872372360,7,9,2
2857799046,7,8,7
414177066,7,13,1
162233830,7,16,1
1866898256,7,16,1
56666374,7,7,6
2753139956,7,10,4
157009365,7,22,1
281831774,7,10,1
67706546,7,9,5
105883111,7,13,2
17995040,7,93,7
239378797,7,9,1
1561720554,7,13,2
47624589,7,77,7
398642821,7,13,1
66367082,7,10,4
185670069,7,17,1
200641413,7,7,7
1230267290,7,7,5
587935398,7,8,6
78615346,7,15,1
461344573,7,9,2
234083699,7,12,3
1463313162,7,13,2
2333512328,7,15,1
1003681236,7,8,3
2449982929,7,7,7
351120282,7,32,5
2442329799,7,14,2
17386686,7,13,1
307531686,7,12,1
78896761,7,15,1
876687512,7,12,1
178256726,7,14,1
28752472,7,14,1
1731401833,7,11,3
809194890,7,12,2
701094366,7,8,7
2773566528,7,8,7
390756366,7,9,2
1100855744,7,8,5
284955277,7,10,1
889810789,7,14,2
207441433,7,24,3
127342952,7,16,1
1182366589,7,16,1
551234726,7,8,6
2170209896,7,13,3
838881872,7,11,2
213757408,7,14,3
2372161123,7,16,1
2926388692,7,15,2
2769965322,7,15,4
2527935530,7,21,1
61260065,7,16,1
14888597,7,21,2
359422031,7,12,1
25300494,7,12,3
2355121773,7,13,1
148699583,7,10,1
139601409,7,14,1
34436330,7,12,1
501723968,7,13,2
325739748,7,12,1
351263372,7,15,3
344466939,7,14,1
420223654,7,9,7
2950954733,7,10,3
20696129,7,10,1
388492284,7,11,1
253791853,7,7,3
21565433,7,14,2
37072821,7,28,2
191231615,7,7,7
246488430,7,14,1
592214012,7,7,6
101445204,7,8,4
2663033660,7,10,4
389491359,7,15,1
308174015,7,13,2
1496847696,7,14,1
1605751488,7,11,1
34610527,7,12,1
16006466,7,15,1
17512048,7,13,2
14894595,7,14,1
1102756932,7,13,1
604968039,7,12,1
949075567,7,11,1
2271035214,7,11,1
154659600,7,14,1
392841924,7,10,1
387516768,7,9,7
2936694741,7,7,7
422277246,7,10,1
16643532,7,14,2
59488559,7,13,1
2714705660,7,8,2
2792892015,7,11,1
1526906239,7,14,2
1080276308,7,8,5
599848166,7,16,2
501178889,7,8,2
220689036,7,12,1
11018152,7,19,1
551821933,7,12,1
2578182110,7,8,6
195059447,7,7,7
46387392,7,25,1
1060477824,7,14,1
25049056,7,31,7
16989970,7,15,1
2537978717,7,15,1
67101179,7,18,1
2424718186,7,15,1
1617219788,7,18,1
2943604810,7,16,1
2738650307,7,15,1
127632704,7,14,1
2912912646,7,15,1
981380791,7,16,1
846342115,7,12,1
23524389,7,10,1
15664532,7,13,1
2753302078,7,12,1
419322888,7,14,1
57910502,7,10,1
722513881,7,14,1
10715902,6,10,5
43644895,6,11,3
17152053,6,52,6
79802631,6,7,5
2579312316,6,12,2
547071660,6,12,2
281519746,6,12,2
175382645,6,12,1
2342163477,6,12,1
2534846484,6,10,4
25067168,6,39,6
150313802,6,11,1
25472797,6,6,6
743802522,6,15,1
2909294196,6,9,5
47685065,6,44,5
239885144,6,19,1
961721755,6,7,4
2939872661,6,6,4
416044899,6,7,6
2242421732,6,6,5
431814865,6,13,2
2378914268,6,6,5
410395715,6,12,1
2924583342,6,11,3
1931711646,6,10,2
1148139996,6,9,1
245969745,6,11,1
810085802,6,11,1
14784478,6,10,2
1315370654,6,8,4
14491563,6,11,1
391284225,6,11,1
2176744905,6,13,1
235326479,6,12,1
242690992,6,11,1
932558718,6,9,2
369249722,6,14,2
2841491128,6,7,6
168828976,6,22,4
402495088,6,8,3
361135947,6,10,6
272418128,6,8,5
44315494,6,11,2
34063315,6,10,2
175783382,6,8,5
632286118,6,10,3
406829745,6,6,3
41326029,6,8,2
460577661,6,13,1
392983771,6,11,1
574031250,6,6,6
76901274,6,11,1
2528383177,6,6,2
388768535,6,7,6
213233865,6,14,1
2351339382,6,7,5
2737811904,6,8,3
228871317,6,20,1
2404805857,6,7,3
1960426465,6,12,3
2602155961,6,13,1
1059098461,6,22,1
1061358956,6,11,2
1671271333,6,10,4
237196527,6,8,3
2484888469,6,11,2
2525443105,6,10,2
2467791,6,77,6
22603110,6,7,5
1426190167,6,8,1
295905326,6,14,2
27839828,6,6,6
2424422474,6,9,3
2686106365,6,6,5
118950574,6,10,3
185183954,6,12,1
450583624,6,9,1
305345637,6,11,1
122928358,6,10,2
370689583,6,8,4
271413771,6,57,6
191376204,6,7,2
309401664,6,6,2
387842150,6,12,1
230914235,6,11,1
1177491776,6,9,3
2939917682,6,8,1
300202031,6,15,1
7332592,6,12,1
94107710,6,10,4
257747817,6,18,1
1484818710,6,13,1
1339678860,6,11,1
531598198,6,12,1
2479328651,6,7,1
522289313,6,18,2
1963704589,6,13,1
15108702,6,42,6
116474446,6,13,1
2478594524,6,15,1
129880735,6,13,1
2897146504,6,11,2
47063444,6,6,6
2848372747,6,7,5
199834578,6,10,2
50272527,6,13,1
1493323952,6,16,1
1172509285,6,9,1
46363353,6,9,4
1591762152,6,7,4
2958552807,6,6,5
1851815635,6,10,2
579504493,6,6,6
405194953,6,7,5
14569869,6,48,4
2966583242,6,8,1
128917051,6,6,6
2945871636,6,6,6
216809385,6,9,1
2828409654,6,11,1
2497286180,6,7,5
1693802857,6,11,2
787402807,6,12,1
2821081519,6,10,1
24506246,6,71,6
130134724,6,13,2
2682632388,6,9,1
7306602,6,6,1
51894187,6,10,1
1637236532,6,6,5
106815369,6,17,1
1972731678,6,17,1
88728383,6,10,2
232372741,6,6,5
1379288282,6,87,6
876736688,6,7,2
2557472599,6,7,1
385136452,6,11,1
81260589,6,6,6
959403319,6,14,1
255730745,6,11,2
362156714,6,10,1
191517957,6,11,2
181864051,6,11,1
467111044,6,12,1
45450902,6,10,1
2369318622,6,9,1
2475623023,6,9,1
1719561684,6,8,4
236964887,6,16,1
16513349,6,16,3
488598483,6,11,1
2699496506,6,12,1
1696092546,6,12,1
1360852878,6,11,1
1644897588,6,20,1
321780524,6,6,6
443146128,6,20,1
393104762,6,16,1
248156495,6,12,1
2707125002,6,9,1
271446110,6,9,1
239830880,6,10,2
255180467,6,6,6
514722148,6,13,1
147181485,6,7,6
2206788811,6,13,1
2919525786,6,8,4
108136454,6,12,1
16106863,6,10,1
2833154944,6,14,1
351721212,6,14,1
2449698240,6,7,6
2239366862,6,10,1
47859404,6,15,1
876424100,6,11,1
577943624,6,11,1
2781848479,6,11,1
438601264,6,6,6
103972238,6,6,6
262300284,6,12,1
575652263,6,11,1
22441656,6,10,2
29406737,6,10,3
69340789,6,13,1
1927566248,6,6,5
570287667,6,13,1
717866965,6,13,1
605443736,6,13,1
1897230871,6,11,1
2925097786,6,12,1
17366667,6,10,1
1481280740,6,15,1
2888783532,5,6,4
295789381,5,10,1
436029388,5,6,5
802335128,5,6,1
243576302,5,7,3
42386100,5,7,3
50084663,5,9,2
305134471,5,21,3
459390022,5,33,3
2602391361,5,5,5
113613108,5,7,2
33468844,5,8,3
714357390,5,6,5
100482942,5,5,5
394637051,5,5,1
6473022,5,25,3
214558609,5,6,5
1451377339,5,6,5
2812004227,5,9,3
2578428787,5,11,2
148653311,5,47,5
66143648,5,11,1
860616002,5,5,5
291763454,5,9,1
22490737,5,6,4
